WK,Game Date,Opp,Result,G,GS,Rec,RecYds,RecAvg,RecLng,RecTD,RushAtt,RushYds,RushAvg,RushLng,RushTD,FUM,Lost,Player,Year
13,12/02,NO,W34-7,1,1,4,77,19.3,52,1,--,--,--,--,--,--,--,Doug Baldwin,2013
14,12/08,@SF,L17-19,1,1,3,36,12.0,14,0,--,--,--,--,--,--,--,Doug Baldwin,2013
15,12/15,@NYG,W23-0,1,1,6,71,11.8,25,1,1,3,3.0,3,0,--,--,Doug Baldwin,2013
16,12/22,ARI,L10-17,1,1,1,8,8.0,8,0,--,--,--,--,--,--,--,Doug Baldwin,2013
17,12/29,STL,W27-9,1,0,0,0,--,--,0,--,--,--,--,--,--,--,Doug Baldwin,2013
1,09/09,@ARI,L16-20,1,0,2,5,2.5,4,0,--,--,--,--,--,--,--,Doug Baldwin,2012
2,09/16,DAL,W27-7,1,0,1,8,8.0,8,0,--,--,--,--,--,--,--,Doug Baldwin,2012
3,09/24,GB,W14-12,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Doug Baldwin,2012
4,09/30,@STL,L13-19,1,0,1,10,10.0,10,0,--,--,--,--,--,--,--,Doug Baldwin,2012
5,10/07,@CAR,W16-12,1,0,3,37,12.3,19,0,--,--,--,--,--,--,--,Doug Baldwin,2012
6,10/14,NE,W24-23,1,0,2,74,37.0,50,1,--,--,--,--,--,--,--,Doug Baldwin,2012
7,10/18,@SF,L6-13,1,0,2,15,7.5,8,0,--,--,--,--,--,--,--,Doug Baldwin,2012
8,10/28,@DET,L24-28,0,0,--,--,--,--,--,--,--,--,--,--,--,--,Doug Baldwin,2012
9,11/04,MIN,W30-20,1,1,1,6,6.0,6,0,--,--,--,--,--,--,--,Doug Baldwin,2012
10,11/11,NYJ,W28-7,1,0,3,42,14.0,18,0,--,--,--,--,--,--,--,Doug Baldwin,2012
11,Bye,,,,,,,,,,,,,,,,,Doug Baldwin,2012
12,11/25,@MIA,L21-24,1,1,1,14,14.0,14,0,--,--,--,--,--,--,--,Doug Baldwin,2012
13,12/02,@CHI,W23-17,1,0,4,46,11.5,20,0,--,--,--,--,--,--,--,Doug Baldwin,2012
