"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Charone Peake",3000,"NYJ@Buf 08:25PM ET",0.000,"NYJ"
"RB","Tyler Ervin",3000,"KC@Hou 01:00PM ET",1.800,"Hou"
"RB","Malcolm Brown",3000,"Sea@LA 04:05PM ET",2.300,"LA"
"WR","Damiere Byrd",3000,"SF@Car 01:00PM ET",0,"Car"
"WR","Tanner McEvoy",3000,"Sea@LA 04:05PM ET",0.000,"Sea"
"RB","Aaron Ripkowski",3000,"GB@Min 08:30PM ET",0.000,"GB"
"WR","Jakeem Grant",3000,"Mia@NE 01:00PM ET",0.000,"Mia"
"WR","Bradley Marquez",3000,"Sea@LA 04:05PM ET",0.000,"LA"
"RB","Derek Watt",3000,"Jax@SD 04:25PM ET",0.000,"SD"
"WR","Chris Moore",3000,"Bal@Cle 01:00PM ET",2.300,"Bal"
"WR","Malcolm Mitchell",3000,"Mia@NE 01:00PM ET",5.300,"NE"
"RB","Daniel Lasco",3000,"NO@NYG 01:00PM ET",0.000,"NO"
"WR","Nelson Spruce",3000,"Sea@LA 04:05PM ET",0,"LA"
"WR","De'Anthony Thomas",3000,"KC@Hou 01:00PM ET",0,"KC"
"RB","Tani Tupou",3000,"Sea@LA 04:05PM ET",0.000,"Sea"
"WR","Tommylee Lewis",3000,"NO@NYG 01:00PM ET",0,"NO"
"WR","Robby Anderson",3000,"NYJ@Buf 08:25PM ET",0.000,"NYJ"
"WR","Cody Latimer",3000,"Ind@Den 04:25PM ET",0.000,"Den"
"RB","Kenneth Farrow",3000,"Jax@SD 04:25PM ET",0,"SD"
"RB","George Atkinson III",3000,"Bal@Cle 01:00PM ET",0.000,"Cle"
"WR","Trevor Davis",3000,"GB@Min 08:30PM ET",0,"GB"
"RB","Daryl Richardson",3000,"Cin@Pit 01:00PM ET",0.000,"Pit"
"RB","Jhurell Pressley",3000,"GB@Min 08:30PM ET",0,"GB"
"RB","Andy Janovich",3000,"Ind@Den 04:25PM ET",8.800,"Den"
"WR","Alex Erickson",3000,"Cin@Pit 01:00PM ET",0.000,"Cin"
"RB","Paul Lasike",3000,"Phi@Chi 08:30PM ET",0.000,"Chi"
"RB","D.J. Foster",3000,"Mia@NE 01:00PM ET",0,"NE"
